1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
1199050,1200000,1312000,1329490,1330000,1332500,1333000,1334000,1334500,1343060,1349000,1349150,1349700,1349705,1349711,1349810,1349950,1350000,1350035,1350080,1350120,1350140,1360640,1361000,13621955,1362200,1362342,1362370,1362497,1363382,1365000,1365500,1367800,1372500,137449480,1374559,1374598,1374890,1374930,1387400,1387450,1413398,1413408,1413500,1414000,1414500,1415000,1420500,1421610,1421618,1421900,1422500,1423000,142400103,1432900,1434017,1434025,1434498,1435000,1502500,1503000,1507000,1510000,1512500,1513500,1515000,1520500,1525981,1527500,1529500,3011020,4213500,4214500,4215000,4215500,4216418,4217000,4218000,4221000,4224775,4230380,4230500,4231000,4233286,4233300,4234000,4235299,4237962,4240120,4243500,4250750,4256000,4265432,4268800,4269000,4270200,4271815,4273700,4273800,4275500,4276500,4276842,4280450
1,2,3,4,5,6,7,8,9,10,10,11,11,11,11,11,11,18,11,20,21,22,23,11,11,26,11,11,11,11,31,32,11,34,11,11,11,11,11,40,41,11,11,44,45,46,47,48,11,11,51,52,53,11,55,11,57,11,59,60,61,62,63,64,65,66,67,11,11,70,71,72,11,74,75,76,77,78,79,80,81,82,83,11,11,86,11,11,89,90,91,92,11,94,95,96,11,98,11,100,101,11,11
,,,,,,,,,11,11,12,13,14,15,16,17,,19,,,,,24,25,,27,28,29,30,,,33,,35,36,37,38,39,,,42,43,,,,,,49,50,,,,54,,56,,58,,,,,,,,,,68,69,,,,73,,,,,,,,,,,84,85,,87,88,,,,,93,,,,97,,99,,,102,103
,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORRELATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.933541936,0.933541936,0.522986255,0.813140165,0.807658215,0.859577815,0.871843768,0.805023131,0.852281062,0.639267256,0.767258155,0.802028058,0.836224005,0.823393727,0.764954134,0.816818165,0.83665483,0.849808222,0.8099839,0.844852924,0.817767228,0.815218864,0.862798721,0.850947101,0.803119055,0.840841306,0.768134315,0.820746882,0.846080913,0.825588279,0.868205339,0.873735512,0.786825044,0.922091496,0.85906316,0.8596702,0.860054736,0.849660334,0.802987198,0.853973889,0.820676538,0.820885155,0.830213741,0.845698879,0.813138261,0.822956415,0.804585205,0.846645401,0.784633888,0.790238628,0.837830706,0.814173619,0.828293355,0.832910037,0.831466615,0.822356,0.802441415,0.837316079,0.842135074,0.788815226,0.818157093,0.800556869,0.757882104,0.77087572,0.853826878,0.789535869,0.7646628,0.683132972,0.640073172,0.724845424,0.675201809,0.617103423,0.411037147,0.613266419,0.597335627,0.609126166,0.648657691,0.647528252,0.690085886,0.656903287,0.649444314,0.673195429,0.665026988,0.6701817,0.735108732,0.735577666,0.632665748,0.637470017,0.593380356,0.737750668,0.624789602,0.605304179,0.595128848,0.5610513,0.568048934,0.599189762,0.641597054,0.692337181,0.649955778,0.603052879,0.707115287,0.753351055,0.807128199
0.522986255,0.489802314,0.489802314,0.803660821,0.795555283,0.833108562,0.858582487,0.768730592,0.840872028,0.583073417,0.771385418,0.804262889,0.807376428,0.788437422,0.709400042,0.781754349,0.832621554,0.849280026,0.806307561,0.848531342,0.838396998,0.820081632,0.876296847,0.834992496,0.780638735,0.842336211,0.734879219,0.782089543,0.832043454,0.780620695,0.854044412,0.869732865,0.839938078,0.971880783,0.928761007,0.92063467,0.918579493,0.909587326,0.842203261,0.90359432,0.864012758,0.797114404,0.800896162,0.851112178,0.815429573,0.814347001,0.796496781,0.818118247,0.772211282,0.778564047,0.838972166,0.814751014,0.837224526,0.795975118,0.829050072,0.76545031,0.751528596,0.786170769,0.803801599,0.787915482,0.824210449,0.784053228,0.745476868,0.770684076,0.8221573,0.805857532,0.762712362,0.710719439,0.701255334,0.735234606,0.702023539,0.652879889,0.490934642,0.650996624,0.632204874,0.627482894,0.68526218,0.681852765,0.71500891,0.677207638,0.67554151,0.717569869,0.699709465,0.690697931,0.754966743,0.747705991,0.656717252,0.67533471,0.568759299,0.74384227,0.625547604,0.585696073,0.580042015,0.514548157,0.546261471,0.588894211,0.645385418,0.682014498,0.653800204,0.554154377,0.667797873,0.74301445,0.806668489
0.813140165,0.803660821,0.714857401,0.714857401,0.640131662,0.664017179,0.639404935,0.713686438,0.666017786,0.854026115,0.566845471,0.5760861,0.587528921,0.584208447,0.677411841,0.639932507,0.589802149,0.598695176,0.571407307,0.550004183,0.50965681,0.529821148,0.587693327,0.49266686,0.625308631,0.623642776,0.657239702,0.622952143,0.516687872,0.600683874,0.617396984,0.559130709,0.423110685,0.467705103,0.469117722,0.459190449,0.445993039,0.434900366,0.379770241,0.43783809,0.423547374,0.602153645,0.624337248,0.617437916,0.614184912,0.627497903,0.583973874,0.630445398,0.56121851,0.554777916,0.595443545,0.592699545,0.593760373,0.515084523,0.585102894,0.646353804,0.631247,0.635764918,0.663967556,0.628746996,0.611118429,0.626230877,0.613532435,0.615322592,0.637793072,0.62616862,0.542959086,0.465198278,0.547561953,0.549242378,0.549089442,0.487424863,0.353201194,0.470869317,0.460021044,0.444798239,0.511810215,0.502232326,0.511420115,0.467771412,0.448502463,0.49348061,0.504318718,0.494899258,0.50432196,0.556098691,0.458340583,0.515814061,0.403437284,0.528287503,0.609981219,0.819693504,0.770578823,0.859526226,0.831125146,0.696065918,0.749279257,0.751760507,0.777816148,0.902288593,0.843353061,0.809305251,0.707113906
0.807658215,0.795555283,0.640131662,0.866442097,0.866442097,0.892606544,0.892316108,0.910073146,0.935926998,0.789369034,0.836350808,0.823640677,0.812533637,0.795333085,0.76602465,0.80545718,0.826009005,0.8353763,0.823787359,0.832861694,0.800980705,0.813211146,0.868256281,0.810268183,0.809429931,0.838235648,0.777809868,0.800818772,0.772512089,0.768180481,0.829695714,0.812620626,0.679097507,0.795772969,0.755472241,0.757544925,0.740117072,0.738203827,0.648361688,0.741578694,0.705229494,0.812801145,0.821023985,0.853483003,0.82779161,0.828778802,0.812456516,0.822052783,0.792471141,0.801044282,0.845454234,0.827766873,0.849654793,0.709523516,0.813956318,0.760292158,0.77460945,0.791150104,0.819951113,0.852607547,0.856384449,0.845231624,0.812898645,0.83178878,0.857672243,0.844472592,0.771419932,0.692048273,0.73166631,0.760859239,0.753395022,0.718203546,0.513832083,0.699898011,0.695262429,0.663441795,0.746613137,0.737308059,0.710059028,0.688963968,0.702713481,0.736374915,0.74505345,0.696552313,0.753008763,0.784897169,0.684583708,0.737680488,0.613622384,0.798592986,0.741020866,0.7764545,0.715162276,0.71273363,0.751157886,0.767293532,0.777422818,0.796534373,0.782755658,0.747648739,0.802976752,0.869835815,0.955192065
0.859577815,0.833108562,0.664017179,0.892606544,0.874903904,0.874903904,0.84876843,0.851019182,0.868997153,0.796017294,0.890250156,0.877073524,0.815392487,0.803156935,0.72219018,0.772477828,0.804950221,0.837033749,0.820274664,0.823108698,0.79250153,0.843945805,0.826170913,0.82968472,0.768216499,0.790266909,0.717950966,0.783762504,0.802412913,0.777972231,0.830898343,0.840641595,0.714887533,0.790439027,0.72995797,0.737368795,0.728697074,0.730448174,0.673587487,0.752958894,0.720777424,0.780682918,0.794256953,0.835622078,0.828529674,0.815818173,0.816478414,0.839312309,0.785974136,0.807515374,0.843971005,0.823484123,0.835960429,0.760866557,0.82781253,0.793275524,0.795047772,0.812655863,0.826843755,0.852497971,0.839146049,0.845404831,0.814439878,0.833836551,0.847846656,0.83287575,0.79298025,0.753677546,0.702070765,0.76994191,0.751671254,0.732483213,0.618137166,0.729105161,0.717584123,0.723231557,0.752799506,0.719264083,0.754208979,0.737422262,0.717296924,0.7303657,0.757270925,0.761199708,0.803825309,0.810751003,0.725277479,0.752069961,0.733530486,0.82694088,0.724961964,0.740348983,0.687816122,0.672221744,0.686889343,0.760872609,0.738699652,0.778806366,0.734826912,0.690086278,0.765606865,0.816258317,0.836812555
