STATION_ID,NAME,SIGMA_ASQ,PHI (A),NUGGET,RMSE,NORTHING (Y),EASTING (X),DRNAREA
0142400103,Trout Creek near Trout Creek  NY,0.0024692,170.924,0142400103,,361284.2676,225495.4097,20.2
01420500,Beaver Kill at Cooks Falls  NY,0.0021544,137.693,01420500,,333092.0977,267897.4675,242
01423000,WBr Delaware River at Walton  NY,0.0033048,137.693,01423000,,369951.3885,257618.8194,332
01426000,Oquaga Creek at Deposit  NY,0.0039358,162.627,01426000,,347920.3116,208016.6128,67.7
01428750,West Branch Lackawaxen River near Aldenville  PA,0.0064399,63.7327,01428750,,306698.0236,215247.1315,40.6
01439500,Bush Kill at Shoemakers  PA,0.0070831,57.4021,01439500,,249825.5966,243340.511,117
01440400,Brodhead Creek near Analomink  PA,0.008866,72,01440400,,246465.575,231223.871,65.9
01442500,Brodhead Creek at Minisink Hills  PA,0.0079336,94.7934,01442500,,233588.9197,228089.1969,259
01447500,Lehigh River at Stoddartsville  PA,0.0075361,68.3298,01447500,,248379.1793,205965.5803,91.7
01447720,Tobyhanna Creek near Blakeslee  PA,0.0089641,78.2797,01447720,,238659.9486,212314.2696,118
01448500,Dilldown Creek near Long Pond  PA,0.010039,122.278,01448500,,228497.9003,208302.6619,2.39
01449360,Pohopoco Creek at Kresgeville  PA,0.008832,120.007,01449360,,219318.4927,213026.3468,49.9
01450500,Aquashicola Creek at PAlmerton  PA,0.0082498,95.434,01450500,,209752.8047,215655.417,76.7
01451500,Little Lehigh Creek near Allentown  PA,0.011613,100,01451500,,172642.7241,203035.2865,80.8
01451800,Jordan Creek near Schnecksville  PA,0.010465,120,01451800,,187111.7406,195304.6374,53
01452000,Jordan Creek at Allentown  PA,0.0095897,120,01452000,,185875.524,197900.1949,75.8
01452500,Monocacy Creek at Bethlehem  PA,0.0086849,58.431,01452500,,193781.9461,222048.8625,44.5
01459500,Tohickon Creek near Pipersville  PA,0.0084433,34.1225,01459500,,164635.6503,232249.3321,97.4
01464907,Little Neshaminy Creek at Valley Rd  PA,0.009251,135.52,01464907,,139397.2685,239861.5363,26.8
01467048,Pennypack Creek at Lower Rhawn St Brdg  Philadelphia  PA,0.012084,152.133,01467048,,130174.6111,248469.2988,49.8
01468500,Schuylkill River at Landingville  PA,0.0051609,84.7779,01468500,,191582.3682,152550.1809,133
01470500,Schuylkill River at Berne  PA,0.0058279,69.8098,01470500,,190431.5358,161052.5284,355
01470756,Maiden Creek at Virginville  PA,0.0057676,70,01470756,,179417.1952,184558.5177,159
01470779,Tulpehocken Creek near Bernville  PA,0.005529,92.3245,01470779,,152216.1585,147495.0198,66.5
01471000,Tulpehocken Creek near Reading  PA,0.0036723,70.4866,01471000,,156102.9075,156175.0788,211
01471980,Manatawny Creek near Pottstown  PA,0.0050435,105,01471980,,155414.143,193052.2346,85.5
01472000,Schuylkill River at Pottstown  PA,0.0050301,77.557,01472000,,169296.1945,170847.0575,1147
01472157,French Creek near Phoenixville  PA,0.0072539,149.438,01472157,,131708.2189,193768.6635,59.1
01472174,Pickering Creek near Chester Springs  PA,0.008667,155,01472174,,122743.8887,199694.5045,5.98
