IL_STATION_ID,NAME,SIGMA_ASQ,PHI (A),NUGGET,RMSE,Y,X,DA,CLon,SON.Precip,AWC,Drain.Index,STAT.Perm,PermBXThick
03336500,Bluegrass Creek at Potomac.  IL,0.018687754,246212.5931,0,,1952811.271,689825.283,35.00724,87.840393,2.988448464,16.19426977,4.146852784,0.51136766,1434.331012
03336645,Middle Fork Vermilion River above Oakwood.  IL,0.021417541,249495.6675,0,,1932561.28,696265.4545,431.419815,88.010059,2.99090505,16.78952902,4.633212422,0.68185757,3549.639857
03336900,Salt Fork near St. Joseph.  IL,0.016462064,249495.6662,0,,1931876.926,671898.9435,134.278027,88.073809,3.025970397,19.95474178,4.196958342,1.241752524,3059.727401
03338000,Salt Fork near Homer.  IL,0.023324648,415826.1125,0,,1921973.227,679179.9195,337.316583,88.106582,3.064418537,20.28079385,5.122464057,1.23400136,1312.161611
03338500,Vermilion River near Catlin.  IL,0.020877571,332660.89,0,,1928945.02,699154.0741,956.908496,88.014542,3.031140696,18.64401468,5.058362842,0.981543426,1837.116389
03343400,Embarras River near Camargo.  IL,0.017880516,332660.89,0,,1890887.616,662435.0208,185.464833,88.141287,3.145633363,20.73596834,5.584542236,1.358976576,315.7682767
03344000,Embarras River near Diona.  IL,0.035260668,206247.7606,0,,1841021.979,667818.2806,916.082091,88.101419,3.212310829,20.3631893,6.556794113,1.267436543,554.8144459
03344500,Range Creek near Casey.  IL,0.025332823,507348.7602,0,,1840025.606,680016.8612,7.036432,88.005617,3.326678148,17.16794073,3.945945946,0.407843142,25
03345500,Embarras River at Ste. Marie.  IL,0.029878798,479589.5399,0,,1796562.576,684298.3463,1510.50047,88.137037,3.260682652,19.37661967,5.76929355,1.06039484,721.5186945
03346000,North Fork Embarras River near Oblong.  IL,0.04014067,691250.1,0,,1805302.826,690077.9072,319.791204,87.917143,3.344821924,17.68689239,5.645356952,0.715689251,338.8258759
03378000,Bonpas Creek at Browns.  IL,0.04828837,693313.4539,0,,1734772.263,693434.3272,228.220045,87.940175,3.487801147,18.59035554,3.763318453,0.698952142,30.0350397
03378635,Little Wabash River near Effingham.  IL,0.032682556,472214.4081,0,,1811209.694,634000.9231,238.597012,88.521744,3.293198222,17.8412015,3.74317563,0.800867172,479.8213155
03378900,Little Wabash River at Louisville.  IL,0.047602533,561542.7833,0,,1775296.628,645612.1245,745.811279,88.562525,3.358483166,17.41124881,3.221171448,0.662020527,270.8970759
03379500,Little Wabash River below Clay City.  IL,0.05146489,649982.3524,0,,1760855.668,663490.2978,1130.578883,88.48507,3.384514566,17.41411728,3.080938577,0.638196032,174.9275858
03380350,Skillet Fork near Luka.  IL,0.122800107,1101138.115,0,,1745075.721,627541.5506,209.026851,88.749725,3.414569548,17.28594707,3.173023639,0.599284582,146.9174255
03380475,Horse Creek near Keenes.  IL,0.048605607,676195.7781,0,,1729559.841,634439.4722,97.085969,88.777498,3.433651294,16.86151129,6.630470872,0.9132074,25
03380500,Skillet Fork at Wayne City.  IL,0.057934208,684771.6345,0,,1728044.86,641211.8361,465.320997,88.7229,3.421086575,17.56034031,4.140389711,0.698567151,110.3244166
