IN_STATION_ID,NAME,SIGMA_ASQ,PHI (A),NUGGET,RMSE,Y,X,DA,CLat,DJF.Precip,SON.Precip,AWC,STAT.Perm,PermBXThick,QSS_PermBXThick
03274650,Whitewater River near Economy. IN,0.012259097,218536.6239,0,,1940128.753,918995.8905,10.4,40.04150292,2.445845238,3.008125984,16.0012,0.856,3905.973639,25.48
03274750,Whitewater River near Hagerstown. IN,0.015218232,259364.2656,0,,1925142.627,916663.1272,59.5,39.97446901,2.508498677,3.041225722,16.0889,1.6272,4774.29858,21.469999
03274950,Little Williams Creek at Connersville. IN,0.013073201,324205.332,0,,1898802.767,918914.8079,9.3,39.67206031,2.684592593,3.092225722,18.0021,1.0908,100.6899228,1
03276000,East Fork Whitewater River at Brookville. IN,0.015620787,324205.332,0,,1877754.66,935835.6539,381,39.74051839,2.706825397,2.997940945,19.0158,1.2413,764.4738549,10.3
03276500,Whitewater River at Brookville. IN,0.013897085,324205.3248,0,,1874652.206,935401.6915,1220,39.70946504,2.706939153,3.057296588,17.3491,1.3167,1691.937326,15.65
03276700,South Hogan Creek near Dillsboro. IN,0.02144041,405390.9486,0,,1832376.951,938087.4351,38.1,39.08261235,3.149111111,3.265765092,14.9493,0.6792,19.18954956,0.69
03302220,Buck Creek near New Middletown. IN,0.035688763,517650.6841,0,,1721136.076,859175.9649,37.1,38.14706322,3.654107143,3.367429134,18.4183,1.2571,2.502534202,0.1
03302300,Little Indian Creek near Galena. IN,0.040366405,547090.9005,0,,1745069.06,870327.8383,17.1,38.33434071,3.660240741,3.43441601,15.5435,1.3315,219.5500751,8.7799997
03302680,West Fork Blue River at Salem. IN,0.049936479,560636.0913,0,,1775164.337,852955.1232,19.1,38.62634298,3.209529101,3.404144357,18.0093,1.2405,2.502576881,0.1
03303400,Crooked Creek near Santa Claus. IN,0.024591707,324205.332,0,,1713947.041,789922.4,7.98,38.14509027,3.405154762,3.462370079,15.7679,1.3044,5.783818669,0.23
03322011,Pigeon Creek near Fort Branch. IN,0.030321594,518586.071,0,,1723874.731,734137.8115,32.9,38.30597632,3.195289683,3.554665354,19.5229,1.1467,33.62031032,0.83999997
03322500,Wabash River near New Corydon. IN,0.012096834,259364.2656,0,,2005452.221,937925.5924,260,40.4490613,2.298079365,2.795363517,19.541,0.7514,317.155781,4.5500002
03322900,Wabash River at Linn Grove. IN,0.014637906,249299.6166,0,,2013476.367,917527.8291,451,40.49261017,2.286436508,2.822867454,18.2902,0.6894,380.9183116,4.6799998
03323000,Wabash River at Bluffton. IN,0.034729595,306396.0244,0,,2021719.85,904863.947,530,40.52102765,2.279899471,2.831439633,18.1068,0.6817,344.9471448,4.6199999
03323500,Wabash River at Huntington. IN,0.006445871,200175.1859,0,,2031251.186,876367.9128,719,40.57993756,2.272996032,2.85203937,17.8504,0.6922,343.1303258,5.1399999
03324300,Salamonie River near Warren. IN,0.012677487,259364.2656,0,,2015757.954,881757.7761,426,40.50528943,2.25093254,2.883664042,16.6018,0.6116,447.2701957,3.8199999
03324500,Salamonie River at Dora. IN,0.004453131,148753.0347,0,,2024675.483,861395.504,557,40.56241042,2.265216931,2.909833333,17.5115,0.6041,422.081195,3.6600001
03325000,Wabash River at Wabash. IN,0.003830996,99168.68979,0,,2021104.286,850305.051,1770,40.66846795,2.271175926,2.908813648,17.4251,0.7091,602.2427989,6.5300002
03325311,Little Mississinewa River at Union City. IN,0.013234455,232605.3452,0,,1964305.958,940515.9863,9.76,40.16946722,2.276084656,2.876178478,18.6655,1.0199,149.9616075,1
03326000,Mississinewa River near Eaton. IN,0.021996533,235380.1115,0,,1973188.011,897907.9699,311,40.2705511,2.257634921,2.901188976,16.775,0.6915,696.0364387,6.4000001
03327500,Wabash River at Peru. IN,0.004833806,99168.68979,0,,2013297.678,827908.2948,2680,40.59381608,2.288488095,2.926706037,17.4527,0.7595,778.6348568,7.6100001
03327520,Pipe Creek near Bunker Hill. IN,0.011463899,255129.2189,0,,2005076.308,828843.5718,158,40.56493696,2.384760582,3.049926509,16.8305,0.5794,48.96587565,1
03328430,Weesau Creek near Deedsville. IN,0.014472209,324205.332,0,,2031663.364,823445.4865,9.26,40.93022834,2.264289683,3.108450131,16.5306,1.3832,348.7410878,1
03329000,Wabash River at Logansport. IN,0.003750533,99168.68979,0,,2011448.111,804391.4264,3780,40.6889846,2.286465608,2.970444882,17.3395,0.9965,1182.569431,9.2399998
03329400,Rattlesnake Creek near Patton. IN,0.019566633,374473.2358,0,,2004959.712,778194.8752,7.44,40.74010943,2.201104497,3.005440945,18.0988,2.6765,150.1952469,1
03329500,Wabash River at Delphi. IN,0.003896183,100386.1294,0,,1991309.366,779388.9304,4070,40.6909571,2.282621693,2.977216535,17.3704,1.1026,1241.428542,9.6400003
03329700,Deer Creek near Delphi. IN,0.01478459,324205.332,0,,1991906.657,785807.6381,276,40.57000745,2.365506614,3.095171916,18.6428,1.1862,276.5614088,3.03
03332300,Little Indian Creek near Royal Center. IN,0.020863221,420540.2526,0,,2024612.047,785191.0286,35.2,40.86799578,2.182445767,3.090562992,16.8771,3.0948,143.7550862,1
03332400,Big Monon Creek near Francesville. IN,0.017655574,419568.3656,0,,2033862.519,761533.6525,153,41.0893598,2.083617725,3.085759843,13.2612,8.2018,8358.713456,85.940002
03333450,Wildcat Creek near Jerome. IN,0.012102548,252041.7668,0,,1981323.667,846234.7992,149,40.37425676,2.448146825,3.116527559,18.6951,1.5195,79.55829699,1
03333500,Wildcat Creek at Greentown. IN,0.007083842,148752.9507,0,,1982754.94,842912.7089,159,40.37952997,2.446732804,3.115048556,18.5802,1.4611,79.17427399,1
03333600,Kokomo Creek near Kokomo. IN,0.010189538,246520.6391,0,,1979826.912,832034.065,25.3,40.42315092,2.486236772,3.145204724,19.0038,0.8675,77.71929752,1
